count,mean,std,min,25%,50%,75%,max,fname,EPIC_ID,logstd,logiqr
1705.0,0.9880044724240471,0.03348285378886879,0.909842794,0.96377958,0.9872921720000001,1.0089441590000001,1.2495038040000002,hlsp_k2sff_k2_lightcurve_202483641-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-1.4751775335957575,-1.3452020336730954
1598.0,0.9992780738097609,0.0009631231442078421,0.9974409670000001,0.9984446047500001,0.9989521915,1.0001810965,1.002337237,hlsp_k2sff_k2_lightcurve_202488467-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-3.0163181807562673,-2.760327275663342
1631.0,0.9974830119895779,0.004617719835522698,0.99022241,0.9934793815,0.996373495,1.0014452155,1.0076394,hlsp_k2sff_k2_lightcurve_202491250-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.3355724199631296,-2.0987687480943014
1653.0,0.9989366603756802,0.004096017704602038,0.992710704,0.995124204,0.998763788,1.002759375,1.006783706,hlsp_k2sff_k2_lightcurve_202496545-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.387638174836339,-2.1171812318852647
1619.0,0.9985322418060514,0.0018411756065465632,0.9941210859999999,0.9971247045,0.998285395,0.9997468625,1.0037641590000002,hlsp_k2sff_k2_lightcurve_202499459-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.7349047876409793,-2.58134114313382
1600.0,0.9989104897381257,0.0032900942910877853,0.986858089,0.9967544410000001,0.9989095265000001,1.00105139175,1.008862057,hlsp_k2sff_k2_lightcurve_202501727-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.482791655389747,-2.3668396240042266
1648.0,0.9949219094393202,0.00533748520434041,0.9856592279999999,0.98998230325,0.9942472625000001,0.9996995212500001,1.008029823,hlsp_k2sff_k2_lightcurve_202502512-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.2726633158418093,-2.0124580540227535
1641.0,0.9979040691468631,0.004311810716705421,0.9903989390000001,0.993939111,0.9976874059999999,1.001988678,1.006976027,hlsp_k2sff_k2_lightcurve_202506039-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.36534031240728,-2.0942274804480707
1595.0,1.001617306991851,0.004042458626732387,0.9944240740000001,0.997888376,1.001768264,1.0049301045,1.010079673,hlsp_k2sff_k2_lightcurve_202506474-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.393354416263558,-2.1523207235465587
1601.0,0.9983882322910678,0.0017543350063974489,0.994772702,0.9968179970000001,0.997952635,0.999967607,1.001957206,hlsp_k2sff_k2_lightcurve_202507039-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.7558874705267247,-2.50174321933229
1646.0,0.9984192666974481,0.003139126084175684,0.99046487,0.9958365522499999,0.9982853995000001,1.0010849717499999,1.007543626,hlsp_k2sff_k2_lightcurve_202512864-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.503191240348999,-2.2799714595977196
1631.0,1.0007276339650522,0.004070423208236346,0.993669548,0.9975137365,1.000351803,1.0046398985,1.008764827,hlsp_k2sff_k2_lightcurve_202514927-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.390360434153999,-2.1471443089978606
1629.0,0.9991600619545725,0.0035312193486146,0.993808055,0.9959013809999999,0.9990527140000001,1.002266213,1.006741087,hlsp_k2sff_k2_lightcurve_202517891-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.4520753045456023,-2.1962130550795864
1653.0,1.0118006975583789,0.02069358511451918,0.965404912,0.993216048,1.009819633,1.028974029,1.057675331,hlsp_k2sff_k2_lightcurve_202518093-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-1.6841642623274022,-1.446627010718205
1635.0,1.0018221416574937,0.006452587715313347,0.981986358,0.997396899,1.001815968,1.0061373155000002,1.0231409,hlsp_k2sff_k2_lightcurve_202518676-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.1902660830231264,-2.0584678717887095
1670.0,0.99832056736048,0.0143245076898584,0.973249397,0.9840295829999999,0.9993123150000001,1.00753425325,1.047372889,hlsp_k2sff_k2_lightcurve_202520669-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-1.843920295102419,-1.6288458372053558
1567.0,0.9971101434773461,0.0021378813654224075,0.99167955,0.9954160555,0.9971270990000001,0.9984552529999999,1.003755084,hlsp_k2sff_k2_lightcurve_202521463-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.670016398178651,-2.517241076697573
1635.0,0.9996391415724759,0.001969411237977545,0.992481333,0.9982890145,0.999639125,1.0010413495,1.006140518,hlsp_k2sff_k2_lightcurve_202521931-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.7056635882111464,-2.560298707138202
1590.0,0.991086194394339,0.022478846181869645,0.941040254,0.97405178675,0.9905034340000001,1.009340659,1.057867032,hlsp_k2sff_k2_lightcurve_202522205-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-1.6482259844600642,-1.4523622204563507
1633.0,0.9988849585505202,0.004060047798036227,0.9927735190000001,0.995193166,0.9984569179999999,1.002430664,1.007063915,hlsp_k2sff_k2_lightcurve_202522885-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.39146885354074,-2.1404115432768123
1615.0,0.9986649015424148,0.0018440384103693265,0.9943698329999999,0.9972952079999999,0.998445695,0.9999708595000001,1.008311349,hlsp_k2sff_k2_lightcurve_202523595-c02_kepler_v1_llc-default-aper.txt,pler_v1_l,-2.7342300370580332,-2.57257045349133
