EPIC_ID,count,mean,std,min,25%,50%,75%,max,logstd,logiqr,fname
202807967,3286.0,1.004583671676203,0.017386044572831275,0.97330847,0.9880610527499999,0.995563647,1.0234191095,1.034141343,-1.7597992113029355,-1.4515116114740854,../control/data/hlsp_k2sff_k2_lightcurve_202807967-c02_kepler_v1_llc-default-aper.txt
202808178,3332.0,1.006833836187875,0.012596373651138994,0.980767556,0.9947331745,1.005403408,1.0188178027500001,1.036760259,-1.8997544651980063,-1.6182600527009934,../control/data/hlsp_k2sff_k2_lightcurve_202808178-c02_kepler_v1_llc-default-aper.txt
202808352,3327.0,1.0041714542912519,0.008766310840153453,0.98820698,0.9962986979999999,0.9986112629999999,1.0132132885,1.047947756,-2.0571831339820834,-1.771738511960722,../control/data/hlsp_k2sff_k2_lightcurve_202808352-c02_kepler_v1_llc-default-aper.txt
202808417,3352.0,1.019435821675118,0.06913621704040028,0.916557107,0.95489492175,0.9756193419999999,1.094460067,1.360093011,-1.1602943876432907,-0.8552230280997319,../control/data/hlsp_k2sff_k2_lightcurve_202808417-c02_kepler_v1_llc-default-aper.txt
202808819,3339.0,1.0081970420323438,0.014756627978703848,0.9843892120000001,0.9934030395,1.003268972,1.023245169,1.042420221,-1.8310128713442113,-1.5251701893394152,../control/data/hlsp_k2sff_k2_lightcurve_202808819-c02_kepler_v1_llc-default-aper.txt
202808840,3344.0,1.0061555589324178,0.0129525770313715,0.98461257,0.9934613802500001,1.0005250835,1.01999521625,1.057831935,-1.8876438162035436,-1.5761999594710017,../control/data/hlsp_k2sff_k2_lightcurve_202808840-c02_kepler_v1_llc-default-aper.txt
202808967,3331.0,1.0072739730939648,0.011660348682296382,0.9897538990000001,0.9958458670000001,1.004451596,1.019995851,1.0443662809999998,-1.9332884625673052,-1.6170831526438998,../control/data/hlsp_k2sff_k2_lightcurve_202808967-c02_kepler_v1_llc-default-aper.txt
202809011,3314.0,1.005390549695838,0.006880529857452131,0.993869473,0.9989746985000001,1.0044577105,1.0122868415,1.02187229,-2.162378116225668,-1.8757520258056595,../control/data/hlsp_k2sff_k2_lightcurve_202809011-c02_kepler_v1_llc-default-aper.txt
202809361,3274.0,1.0007276668677532,0.0014290107237148208,0.9981925770000001,0.9994379177499999,1.000234139,1.0019802869999999,1.004415475,-2.844964512123867,-2.5947613729041987,../control/data/hlsp_k2sff_k2_lightcurve_202809361-c02_kepler_v1_llc-default-aper.txt
202809577,3312.0,1.017686385705013,0.025017114501491473,0.978710435,0.99504948875,1.0075836245,1.04295377125,1.096802804,-1.6017627837052344,-1.3196256602183578,../control/data/hlsp_k2sff_k2_lightcurve_202809577-c02_kepler_v1_llc-default-aper.txt
202809596,3285.0,1.0064151964237444,0.01841519851137046,0.948317049,0.988563075,0.9996416020000001,1.024872083,1.075518798,-1.7348235951947262,-1.4399856163036102,../control/data/hlsp_k2sff_k2_lightcurve_202809596-c02_kepler_v1_llc-default-aper.txt
202809618,3346.0,1.0028193657286317,0.0051649658804247146,0.9931245870000001,0.9980523929999999,1.0022135799999998,1.0080604145,1.016731794,-2.286932543068313,-1.9996517703288863,../control/data/hlsp_k2sff_k2_lightcurve_202809618-c02_kepler_v1_llc-default-aper.txt
202809947,3346.0,1.0046290897901977,0.010769407136709737,0.979681673,0.9948253845,0.9997185745,1.01581060825,1.054470019,-1.9678082042547116,-1.6780863958652963,../control/data/hlsp_k2sff_k2_lightcurve_202809947-c02_kepler_v1_llc-default-aper.txt
202810075,3219.0,1.0016129450242308,0.0033156976082382504,0.991047433,0.998316413,1.002226713,1.0044896125,1.008023692,-2.4794250839908343,-2.209489687661249,../control/data/hlsp_k2sff_k2_lightcurve_202810075-c02_kepler_v1_llc-default-aper.txt
202810239,3246.0,1.0054216593903267,0.00799864648366277,0.9950664459999999,0.9976255785,1.001168652,1.01428361175,1.02279273,-2.0969834973091723,-1.7783762753838115,../control/data/hlsp_k2sff_k2_lightcurve_202810239-c02_kepler_v1_llc-default-aper.txt
202810257,3287.0,1.0000979711101305,0.0046939570372419685,0.987617152,0.996030362,0.999654997,1.0042491095,1.021378077,-2.3284608897212626,-2.0851943619349558,../control/data/hlsp_k2sff_k2_lightcurve_202810257-c02_kepler_v1_llc-default-aper.txt
202810802,3341.0,0.9981106232259801,0.00454459594520205,0.987324448,0.995155963,0.9991260279999999,1.000929734,1.054843611,-2.342504723348441,-2.2385404451536974,../control/data/hlsp_k2sff_k2_lightcurve_202810802-c02_kepler_v1_llc-default-aper.txt
202811129,3319.0,1.0029674311741466,0.007086918371608103,0.986907553,0.996336869,1.004016724,1.0091745804999999,1.104636896,-2.1495425694911052,-1.8915123883780158,../control/data/hlsp_k2sff_k2_lightcurve_202811129-c02_kepler_v1_llc-default-aper.txt
202811596,3261.0,1.0002242234369825,0.0007420237572482293,0.996620869,0.999730485,1.000158551,1.000638878,1.004369646,-3.129582189765932,-3.0417262210761282,../control/data/hlsp_k2sff_k2_lightcurve_202811596-c02_kepler_v1_llc-default-aper.txt
202811825,3214.0,1.0014383134393274,0.00203491789008126,0.9952951529999999,0.9999462455,1.00133503,1.00302672525,1.006667056,-2.6914531100771177,-2.5113816417617096,../control/data/hlsp_k2sff_k2_lightcurve_202811825-c02_kepler_v1_llc-default-aper.txt
202811921,3323.0,1.0056328236861267,0.011114670706260857,0.9895076970000001,0.9949087875,0.99998391,1.0175599015,1.073527029,-1.9541033995931774,-1.6449104341740746,../control/data/hlsp_k2sff_k2_lightcurve_202811921-c02_kepler_v1_llc-default-aper.txt
202811990,3365.0,1.0078859756008889,0.015531388996101054,0.9839322229999999,0.992548395,1.003429741,1.024011257,1.042823643,-1.808789702908452,-1.5022017745838911,../control/data/hlsp_k2sff_k2_lightcurve_202811990-c02_kepler_v1_llc-default-aper.txt
202812022,3314.0,1.0013712349960782,0.004703139036706657,0.993025974,0.9971690297499999,0.998821474,1.0061913045,1.028546517,-2.3276121822188496,-2.044683951723779,../control/data/hlsp_k2sff_k2_lightcurve_202812022-c02_kepler_v1_llc-default-aper.txt
202812082,3302.0,1.0011141460009068,0.009830658281474227,0.962490121,0.993406059,1.0011008955,1.00880456375,1.029487466,-2.0074173999257736,-1.8125214486668833,../control/data/hlsp_k2sff_k2_lightcurve_202812082-c02_kepler_v1_llc-default-aper.txt
