EPIC_ID,count,mean,std,min,25%,50%,75%,max,logstd,logiqr,fname,input_id,id,k2_ra,k2_dec,twomass,ucac,tyc,hip,kp,bmag,vmag,rmag,imag,jmag,hmag,kmag,kepflag,sim_2MASS,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,ID,SP_TYPE,SP_QUAL,SP_BIBCODE,FLUX_V,FLUX_I,FLUX_H,FLUX_K,INPUT
204525956,3099.0,0.9999582765172644,0.0005294517500262948,0.980077526,0.9997127575,0.999925195,1.0002114705,1.003366822,-3.276173611858903,-3.3021493108377906,../data/hlsp_k2sff_k2_lightcurve_204525956-c02_kepler_v1_llc-default-aper.txt,204525956.0,204525956.0,240.48106299999998,-21.98039,16015546-2158496,341-078053,6212-1713-1,78530.0,7.282,7.269,7.192,,,6.928,6.946000000000001,6.903,BV,2MASS J16015546-2158496,b'HD 143567',16 01 55.4551,-21 58 49.402,9.0,9.0,5.179999828338623,3.25,90.0,A,O,b'2007A&A...474..653V',Star,b'',b'B9V',C,b'1988MSS...C04....0H',7.190000057220459,,6.946000099182129,6.9029998779296875,2MASS J16015546-2158496
204530046,3276.0,0.9884745864627584,0.03189646065478531,0.720892539,0.985889244,0.997190416,1.0044344165,1.050569754,-1.4962575051363989,-1.7317691226778,../data/hlsp_k2sff_k2_lightcurve_204530046-c02_kepler_v1_llc-default-aper.txt,204530046.0,204530046.0,242.70879300000001,-21.963379,16105011-2157481,None,None,,13.328,,,,,11.863,11.187999999999999,10.79,J,2MASS J16105011-2157481,,,,,,,,,,,,,,,,,,,,,
204530156,3148.0,1.0002794376458035,0.0009348892321863213,0.997254412,0.9996512895,1.000269097,1.0008254845,1.003720034,-3.0292398422825486,-2.9302597732830544,../data/hlsp_k2sff_k2_lightcurve_204530156-c02_kepler_v1_llc-default-aper.txt,204530156.0,204530156.0,243.345848,-21.962899,16132301-2157463,341-079606,6213-928-1,,8.988999999999999,10.413,9.214,,,6.807,6.189,5.9639999999999995,BV,2MASS J16132301-2157463,b'HD 145750',16 13 23.0009,-21 57 46.474,8.0,8.0,39.810001373291016,27.639999389648438,90.0,B,,b'1998A&A...335L..65H',Star,b'',b'K1III',C,b'1988MSS...C04....0H',9.210000038146973,,6.189000129699707,5.964000225067139,2MASS J16132301-2157463
204533053,3312.0,0.9992885381029568,0.010005134295493705,0.973217168,0.99297118,0.9996114845,1.00543356,1.228767857,-1.9997770776024397,-1.904399010472768,../data/hlsp_k2sff_k2_lightcurve_204533053-c02_kepler_v1_llc-default-aper.txt,204533053.0,204533053.0,240.050712,-21.950908,16001216-2157032,341-077857,None,,14.514000000000001,17.361,15.649000000000001,15.067,13.647,11.311,10.594000000000001,10.341,gri,2MASS J16001216-2157032,,,,,,,,,,,,,,,,,,,,,
204533829,3150.0,1.0004275345958726,0.004256855836711194,0.99064145,0.9972087375,0.9996666385,1.00364771125,1.014428117,-2.37091105745288,-2.191183345408478,../data/hlsp_k2sff_k2_lightcurve_204533829-c02_kepler_v1_llc-default-aper.txt,204533829.0,204533829.0,239.55678999999998,-21.947889,15581361-2156523,341-077581,6199-351-1,,9.755,12.005,10.26,10.059,9.138,7.452000000000001,6.6739999999999995,6.465,gri,2MASS J15581361-2156523,b'TYC 6199-351-1',15 58 13.6287,-21 56 52.380,8.0,8.0,61.130001068115234,56.40999984741211,0.0,B,,b'1998A&A...335L..65H',Star,b'',b'',,b'',10.260000228881836,,6.673999786376953,6.465000152587891,2MASS J15581361-2156523
204538777,3299.0,1.0010956130942708,0.0020084434647585146,0.978894319,0.999527511,1.000496877,1.0027082195,1.00884412,-2.6971403886218663,-2.497476130528704,../data/hlsp_k2sff_k2_lightcurve_204538777-c02_kepler_v1_llc-default-aper.txt,204538777.0,204538777.0,240.85939100000002,-21.927183,16032625-2155378,None,None,,14.002,,,,,12.645999999999999,11.964,11.600999999999999,J,2MASS J16032625-2155378,b'2MASS J16032625-2155378',16 03 26.254,-21 55 37.86,7.0,7.0,60.0,60.0,90.0,B,N,b'2003yCat.2246....0C',Star,b'',b'',,b'',,,11.96399974822998,11.60099983215332,2MASS J16032625-2155378
204542962,3218.0,1.1302404643185229,0.09903165809610452,0.940711912,1.0523243475,1.119589683,1.19486876325,1.477540365,-1.0042259494569403,-0.8460497917285265,../data/hlsp_k2sff_k2_lightcurve_204542962-c02_kepler_v1_llc-default-aper.txt,204542962.0,204542962.0,244.961201,-21.909859,16195068-2154355,341-080625,None,,11.772,13.898,12.498,11.94,11.123,9.14,8.443,8.203,gri,2MASS J16195068-2154355,b'1RXS J161951.4-215431',16 19 50.687,-21 54 35.50,7.0,7.0,18.0,18.0,90.0,B,O,b'2003yCat.1289....0Z',RotV*,b'',b'M0',D,b'2006AJ....132..866R',12.362000465393066,10.479999542236328,8.442999839782715,8.20300006866455,2MASS J16195068-2154355
204543256,3290.0,0.9963281289179337,0.005146973326446954,0.987411015,0.990629628,0.9993159625,1.00075722375,1.005582288,-2.288448082421468,-1.9944936421458488,../data/hlsp_k2sff_k2_lightcurve_204543256-c02_kepler_v1_llc-default-aper.txt,204543256.0,204543256.0,248.59333700000002,-21.908620000000003,16342240-2154309,341-082552,None,,13.001,15.328,13.735,13.091,12.311,10.151,9.336,9.087,gri,2MASS J16342240-2154309,,,,,,,,,,,,,,,,,,,,,
204543498,3325.0,0.9928083978772936,0.019928166810048262,0.942609568,0.977373645,0.993193723,1.007345335,1.059204758,-1.7005326501654336,-1.5232887679992566,../data/hlsp_k2sff_k2_lightcurve_204543498-c02_kepler_v1_llc-default-aper.txt,204543498.0,204543498.0,244.2493,-21.907593,16165984-2154272,341-080120,None,,14.065999999999999,,,,,11.584000000000001,10.899000000000001,10.640999999999998,JHK,2MASS J16165984-2154272,,,,,,,,,,,,,,,,,,,,,
204544020,3302.0,0.9792956942540896,0.03644083344396186,0.9160032140000001,0.943216783,0.9828136679999999,1.0116310512500002,1.071358386,-1.4384116987688982,-1.1648533138351,../data/hlsp_k2sff_k2_lightcurve_204544020-c02_kepler_v1_llc-default-aper.txt,204544020.0,204544020.0,246.45036499999998,-21.90543,16254808-2154195,None,None,,14.56,,,,,12.09,11.411,11.152999999999999,JHK,2MASS J16254808-2154195,,,,,,,,,,,,,,,,,,,,,
204544974,3235.0,0.9992640192707896,0.0019163841973187613,0.99433902,0.9977932805,0.999188403,1.000829409,1.003728977,-2.71751741903157,-2.5176798514656418,../data/hlsp_k2sff_k2_lightcurve_204544974-c02_kepler_v1_llc-default-aper.txt,204544974.0,204544974.0,241.88964500000003,-21.901604000000003,16073351-2154056,341-078839,None,,11.41,13.071,11.772,11.34,10.981,9.593,8.937000000000001,8.772,gri,2MASS J16073351-2154056,,,,,,,,,,,,,,,,,,,,,
204548337,3251.0,0.9855740630541376,0.05542608782677862,0.883158193,0.9322209335,0.994977173,1.038906678,1.079020809,-1.256285774396947,-0.9718936077414074,../data/hlsp_k2sff_k2_lightcurve_204548337-c02_kepler_v1_llc-default-aper.txt,204548337.0,204548337.0,240.86615600000002,-21.887626,16032787-2153155,341-078255,None,,13.582,16.012999999999998,14.446,13.738,12.862,10.845999999999998,10.104,9.862,gri,2MASS J16032787-2153155,b'2MASS J16032787-2153155',16 03 27.874,-21 53 15.53,7.0,7.0,60.0,60.0,90.0,B,N,b'2003yCat.2246....0C',Star,b'',b'',,b'',,,10.104000091552734,9.862000465393066,2MASS J16032787-2153155
204551703,3352.0,0.988853610965394,0.016741542283337144,0.938238948,0.97862739775,0.99104368,0.9997401335,1.103067725,-1.7762045359311918,-1.6754554879548602,../data/hlsp_k2sff_k2_lightcurve_204551703-c02_kepler_v1_llc-default-aper.txt,204551703.0,204551703.0,242.505389,-21.873432,16100129-2152243,None,None,,15.084000000000001,,,,,12.636,12.062999999999999,11.709000000000001,JHK,2MASS J16100129-2152243,b'2MASS J16100129-2152243',16 10 01.293,-21 52 24.36,7.0,7.0,60.0,60.0,90.0,B,I,b'2003yCat.2246....0C',pMS*,b'',b'M5.5',D,b'2008ApJ...688..377S',,,12.062999725341797,11.708999633789062,2MASS J16100129-2152243
204552994,3280.0,0.989377624334147,0.04294152974662081,0.8561590459999999,0.954382143,0.9923034025,1.02008007625,1.4061780640000001,-1.3671224883421915,-1.1824482924225417,../data/hlsp_k2sff_k2_lightcurve_204552994-c02_kepler_v1_llc-default-aper.txt,204552994.0,204552994.0,245.479446,-21.867857,16215506-2152043,341-080931,None,,13.897,,,,,11.372,10.652999999999999,10.402000000000001,JHK,2MASS J16215506-2152043,,,,,,,,,,,,,,,,,,,,,
204553379,3278.0,1.0000698644646118,0.03095842936249448,0.8989350859999999,0.9752195290000001,0.998279353,1.0276870745,1.105927782,-1.5092210808219833,-1.2801092521870119,../data/hlsp_k2sff_k2_lightcurve_204553379-c02_kepler_v1_llc-default-aper.txt,204553379.0,204553379.0,239.597394,-21.866346,15582337-2151588,None,None,,14.763,,,,,12.247,11.594000000000001,11.284,JHK,2MASS J15582337-2151588,b'2MASS J15582337-2151588',15 58 23.375,-21 51 58.85,7.0,7.0,60.0,60.0,90.0,B,I,b'2003yCat.2246....0C',pMS*,b'',b'M4.75',D,b'2008ApJ...688..377S',,,11.593999862670898,11.284000396728516,2MASS J15582337-2151588
204553407,3317.0,1.000180131545073,0.017873947673746164,0.91363151,0.986234851,0.9997323090000001,1.014287242,1.128623081,-1.747779517803157,-1.5520301164451855,../data/hlsp_k2sff_k2_lightcurve_204553407-c02_kepler_v1_llc-default-aper.txt,204553407.0,204553407.0,240.75752999999997,-21.866229999999998,16030180-2151584,None,None,,14.692,,,,,12.368,11.735999999999999,11.487,JHK,2MASS J16030180-2151584,,,,,,,,,,,,,,,,,,,,,
204554162,3241.0,0.9978161099265662,0.02891412685367995,0.960837671,0.976839412,0.997197054,1.017038447,1.863257622,-1.5388899179498452,-1.3957843722688954,../data/hlsp_k2sff_k2_lightcurve_204554162-c02_kepler_v1_llc-default-aper.txt,204554162.0,204554162.0,244.03930499999998,-21.863013,16160942-2151467,341-079991,None,,12.603,14.597000000000001,13.265,12.690999999999999,11.984000000000002,10.199,9.478,9.264,gri,2MASS J16160942-2151467,,,,,,,,,,,,,,,,,,,,,
204559470,3311.0,0.9866441326816652,0.02108719632153696,0.943940595,0.9685494570000001,0.987708947,1.004987695,1.035282821,-1.6759811586686355,-1.438442631846635,../data/hlsp_k2sff_k2_lightcurve_204559470-c02_kepler_v1_llc-default-aper.txt,204559470.0,204559470.0,248.41177799999997,-21.840647,16333881-2150263,341-082468,None,,12.732999999999999,,,,,10.006,9.18,8.873,JHK,2MASS J16333881-2150263,,,,,,,,,,,,,,,,,,,,,
204559599,3281.0,0.9866593928543128,0.04340458842327724,0.906317823,0.9449222690000001,0.99721318,1.025091081,1.091543715,-1.3624643575479087,-1.0959945520477077,../data/hlsp_k2sff_k2_lightcurve_204559599-c02_kepler_v1_llc-default-aper.txt,204559599.0,204559599.0,245.10409700000002,-21.839997,16202498-2150240,341-080723,None,,13.712,16.314,14.747,14.18,12.933,10.870999999999999,10.111,9.881,gri,2MASS J16202498-2150240,,,,,,,,,,,,,,,,,,,,,
204560252,3313.0,0.999070648177182,0.0016444811623520382,0.995421533,0.9976235729999999,0.999047948,1.000426915,1.003105008,-2.783971097026823,-2.5523239162773743,../data/hlsp_k2sff_k2_lightcurve_204560252-c02_kepler_v1_llc-default-aper.txt,204560252.0,204560252.0,246.78013900000002,-21.837059,16270722-2150133,341-081604,6215-70-1,,11.237,13.172,12.030999999999999,11.231,10.687999999999999,8.941,8.206,8.071,gri,2MASS J16270722-2150133,b'TYC 6215-70-1',16 27 07.233,-21 50 13.42,7.0,7.0,149.0,127.0,0.0,B,O,b'2000A&A...355L..27H',Star,b'',b'',,b'',12.029999732971191,,8.206000328063965,8.071000099182129,2MASS J16270722-2150133
204561327,3297.0,0.9882337218814082,0.01877384197093512,0.937982388,0.976389533,0.9881335179999999,1.000736151,1.151087274,-1.726446842134364,-1.613561358307574,../data/hlsp_k2sff_k2_lightcurve_204561327-c02_kepler_v1_llc-default-aper.txt,204561327.0,204561327.0,242.788329,-21.832291,16110919-2149562,None,None,,13.984000000000002,,,,,12.626,11.923,11.595,J,2MASS J16110919-2149562,,,,,,,,,,,,,,,,,,,,,
204562176,3261.0,0.9998289117126636,0.007020644302329038,0.979626353,0.9951935140000001,0.999282543,1.002988983,1.0246724170000001,-2.1536230297354324,-2.108157751163436,../data/hlsp_k2sff_k2_lightcurve_204562176-c02_kepler_v1_llc-default-aper.txt,204562176.0,204562176.0,238.758877,-21.828754,15550213-2149434,341-077265,None,,11.845999999999998,13.776,12.464,11.923,11.285,9.559,8.807,8.644,gri,2MASS J15550213-2149434,,,,,,,,,,,,,,,,,,,,,
204565769,3278.0,1.0083954547236116,0.05950376601412385,0.9133413570000001,0.96118505825,0.996989699,1.0586117165,1.190022608,-1.2254555467522217,-1.011322193565083,../data/hlsp_k2sff_k2_lightcurve_204565769-c02_kepler_v1_llc-default-aper.txt,204565769.0,204565769.0,242.234546,-21.813608,16085628-2148489,341-079043,None,,13.448,16.064,14.347999999999999,13.718,12.696,10.581,9.818,9.642000000000001,gri,2MASS J16085628-2148489,,,,,,,,,,,,,,,,,,,,,
204565982,3267.0,0.9492361773513944,0.22577402278763456,-11.098228419000002,0.9119369815,0.969783574,1.004947495,1.9616573919999998,-0.6463260287927677,-1.0314679579302803,../data/hlsp_k2sff_k2_lightcurve_204565982-c02_kepler_v1_llc-default-aper.txt,204565982.0,204565982.0,246.78925,-21.812695,16270942-2148457,None,None,,14.307,,,,,12.972999999999999,12.152000000000001,11.713,J,2MASS J16270942-2148457,b'2MASS J16270942-2148457',16 27 09.420,-21 48 45.70,7.0,7.0,70.0,60.0,0.0,B,I,b'2003yCat.2246....0C',pMS*,b'',b'M4.5',D,b'2008ApJ...688..377S',,,12.152000427246094,11.713000297546387,2MASS J16270942-2148457
204566199,3229.0,1.0011383174605135,0.02311572138437033,0.96999178,0.987758315,1.000939378,1.010885748,1.511920551,-1.6360925487600653,-1.6358725685178612,../data/hlsp_k2sff_k2_lightcurve_204566199-c02_kepler_v1_llc-default-aper.txt,204566199.0,204566199.0,241.91691699999998,-21.811874,16074006-2148426,341-078857,None,,13.08,15.229000000000001,13.759,13.174000000000001,12.427999999999999,10.610999999999999,9.855,9.674,gri,2MASS J16074006-2148426,,,,,,,,,,,,,,,,,,,,,
204566404,3292.0,1.01079304494927,0.10086779458496542,0.7744501220000001,0.92057289875,1.0051397295,1.0910908209999999,1.3024826379999999,-0.9962474746614992,-0.7682299678432103,../data/hlsp_k2sff_k2_lightcurve_204566404-c02_kepler_v1_llc-default-aper.txt,204566404.0,204566404.0,248.951553,-21.811031,16354836-2148396,341-082666,None,,12.311,14.595999999999998,13.027000000000001,12.415999999999999,11.595999999999998,9.517000000000001,8.754,8.479,gri,2MASS J16354836-2148396,b'GSC 06228-01359',16 35 48.362,-21 48 39.69,7.0,7.0,60.0,60.0,90.0,B,I,b'2003yCat.2246....0C',Star,b'',b'M0',D,b'',,,8.753999710083008,8.479000091552734,2MASS J16354836-2148396
204566795,3248.0,0.9911075828709976,0.02140538055351861,0.892518604,0.9760911415,0.9911857445000001,1.006455643,1.434736761,-1.669477046697971,-1.5176338443809152,../data/hlsp_k2sff_k2_lightcurve_204566795-c02_kepler_v1_llc-default-aper.txt,204566795.0,204566795.0,245.99187999999998,-21.809397,16235805-2148338,None,None,,13.844000000000001,,,,,12.47,11.834000000000001,11.436,J,2MASS J16235805-2148338,,,,,,,,,,,,,,,,,,,,,
204569229,3176.0,1.0406296072430703,0.06263731152469502,0.9353266179999999,0.98028336175,1.0250842125,1.09280603525,1.171029603,-1.2031668910370634,-0.948759957696814,../data/hlsp_k2sff_k2_lightcurve_204569229-c02_kepler_v1_llc-default-aper.txt,204569229.0,204569229.0,244.93909900000003,-21.799376000000002,16194538-2147577,342-079467,None,,12.649000000000001,15.039000000000001,13.463,12.862,11.932,9.991,9.329,9.08,gri,2MASS J16194538-2147577,,,,,,,,,,,,,,,,,,,,,
204570302,3261.0,0.981352399035882,0.032297337005190406,0.92319628,0.952600036,0.984707661,1.0071597,1.414472409,-1.4908332848400725,-1.2631283129006097,../data/hlsp_k2sff_k2_lightcurve_204570302-c02_kepler_v1_llc-default-aper.txt,204570302.0,204570302.0,247.22000699999998,-21.794695,16285281-2147410,342-080731,None,,13.343,,,,,11.880999999999998,11.138,10.853,J,2MASS J16285281-2147410,b'2MASS J16285281-2147410',16 28 52.816,-21 47 41.01,7.0,7.0,60.0,60.0,90.0,B,N,b'2003yCat.2246....0C',Star,b'',b'',,b'',,,11.137999534606934,10.852999687194824,2MASS J16285281-2147410
204576585,3198.0,0.9993564056594758,0.0011833672300234322,0.997449934,0.99819189425,0.999247077,1.000325753,1.002318099,-2.9268804614381247,-2.670834331924566,../data/hlsp_k2sff_k2_lightcurve_204576585-c02_kepler_v1_llc-default-aper.txt,204576585.0,204576585.0,247.169792,-21.768114,16284074-2146050,342-080697,6215-820-1,,10.325,11.562999999999999,10.681,10.345,9.996,8.727,8.328,8.172,gri,2MASS J16284074-2146050,b'BD-21  4363',16 28 40.7452,-21 46 05.247,8.0,8.0,99.62999725341797,39.970001220703125,90.0,B,,b'1998A&A...335L..65H',Star,b'',b'',,b'',10.680000305175781,9.677000045776367,8.32800006866455,8.17199993133545,2MASS J16284074-2146050
204578601,3370.0,0.9922503052308588,0.02092254768495336,0.9576102,0.98232843725,0.9932354995,1.0010828385,1.871121255,-1.6793854336599443,-1.7268967965077566,../data/hlsp_k2sff_k2_lightcurve_204578601-c02_kepler_v1_llc-default-aper.txt,204578601.0,204578601.0,244.91568199999998,-21.759722,16193976-2145349,None,None,,14.55,,,,,13.222999999999999,12.537,12.115,J,2MASS J16193976-2145349,b'2MASS J16193976-2145349',16 19 39.764,-21 45 35.00,7.0,7.0,60.0,60.0,90.0,B,I,b'2003yCat.2246....0C',pMS*,b'',b'M6',D,b'2008ApJ...688..377S',,,12.536999702453613,12.114999771118164,2MASS J16193976-2145349
204584635,3256.0,0.9964851529075563,0.028231431587836944,0.937217808,0.9766840165,0.998947078,1.01819593275,1.221258422,-1.5492670986531514,-1.3818272184983196,../data/hlsp_k2sff_k2_lightcurve_204584635-c02_kepler_v1_llc-default-aper.txt,204584635.0,204584635.0,242.773632,-21.734269,16110567-2144032,342-078257,None,,13.538,16.299,14.624,13.964,12.690999999999999,10.283,9.552,9.237,gri,2MASS J16110567-2144032,,,,,,,,,,,,,,,,,,,,,
204584778,3320.0,0.9955902948846368,0.027501807402404627,0.805001492,0.98443491425,0.9935819065,1.003007236,1.8120200569999998,-1.5606387636571089,-1.7311338011506427,../data/hlsp_k2sff_k2_lightcurve_204584778-c02_kepler_v1_llc-default-aper.txt,204584778.0,204584778.0,243.854865,-21.7337,16152516-2144013,None,None,,14.137,,,,,12.792,12.175,11.782,J,2MASS J16152516-2144013,,,,,,,,,,,,,,,,,,,,,
204589989,3244.0,0.9984275485194214,0.002629962361752174,0.992758888,0.9959233040000001,0.9984110965000002,1.00078598725,1.007693282,-2.5800504667955297,-2.3131240189897944,../data/hlsp_k2sff_k2_lightcurve_204589989-c02_kepler_v1_llc-default-aper.txt,204589989.0,204589989.0,245.419116,-21.712232,16214059-2142440,342-079788,None,,11.645,13.436,12.075999999999999,11.589,11.147,9.618,8.982999999999999,8.82,gri,2MASS J16214059-2142440,,,,,,,,,,,,,,,,,,,,,
204591415,3246.0,0.99478147853204,0.016571731528952385,0.9634981,0.98221824875,0.9939045495,1.0051246310000002,1.167952528,-1.7806321111231391,-1.6400434962723054,../data/hlsp_k2sff_k2_lightcurve_204591415-c02_kepler_v1_llc-default-aper.txt,204591415.0,204591415.0,245.683635,-21.706173,16224408-2142222,342-079955,None,,13.296,,,,,10.875,10.116,9.847999999999999,JHK,2MASS J16224408-2142222,,,,,,,,,,,,,,,,,,,,,
204592018,3137.0,1.0007739869499503,0.0016700191922387833,0.994561354,0.999677226,1.000839984,1.002004652,1.005463239,-2.777278537813193,-2.633124118425032,../data/hlsp_k2sff_k2_lightcurve_204592018-c02_kepler_v1_llc-default-aper.txt,204592018.0,204592018.0,239.685386,-21.703642000000002,15584448-2142129,342-076637,6199-998-1,,9.745,11.832,10.325,10.029,9.065,7.332999999999999,6.587999999999999,6.398,gri,2MASS J15584448-2142129,b'BD-21  4240',15 58 44.497,-21 42 12.83,7.0,7.0,219.47999572753906,209.8300018310547,89.0,B,,b'1988A&AS...74..449R',Star,b'',b'',,b'',10.329999923706055,,6.5879998207092285,6.3979997634887695,2MASS J15584448-2142129
204594663,3324.0,0.9828707266771958,0.024187435817653667,0.9285015440000001,0.9625420985,0.9878882545,1.00107298975,1.5285740819999998,-1.6164101700535851,-1.4141909452958403,../data/hlsp_k2sff_k2_lightcurve_204594663-c02_kepler_v1_llc-default-aper.txt,204594663.0,204594663.0,246.343475,-21.692472,16252243-2141328,None,None,,14.044,,,,,12.692,11.981,11.626,J,2MASS J16252243-2141328,,,,,,,,,,,,,,,,,,,,,
