EPIC_ID,count,mean,std,min,25%,50%,75%,max,logstd,logiqr,fname,input_id,id,k2_ra,k2_dec,twomass,ucac,tyc,hip,kp,bmag,vmag,rmag,imag,jmag,hmag,kmag,kepflag
202687442,3331.0,1.2057452216526574,0.34953121390538305,0.803568602,0.889353139,0.91917031,1.5940769094999998,1.84471532,-0.456514034735018,-0.1519810793997449,../data/hlsp_k2sff_k2_lightcurve_202687442-c02_kepler_v1_llc-default-aper.txt,202687442.0,202687442.0,248.744361,-28.736132,16345864-2844100,None,None,,14.857,,,,,12.489,11.909,11.593,JHK
202689729,3323.0,1.0008908243532948,0.0026935697677259282,0.994531827,0.9986557134999999,1.0007277209999998,1.0028414570000002,1.010134354,-2.569671771056962,-2.3782273885027423,../data/hlsp_k2sff_k2_lightcurve_202689729-c02_kepler_v1_llc-default-aper.txt,202689729.0,202689729.0,246.978582,-28.727577,16275486-2843393,307-088003,None,,12.502,14.676,13.174,12.555,11.866,9.984,9.247,9.022,gri
202693134,3221.0,1.0007406285783949,0.000998956385298091,0.99911252,0.999961197,1.000586745,1.001405514,1.011563309,-3.0004534727728776,-2.8403374769592427,../data/hlsp_k2sff_k2_lightcurve_202693134-c02_kepler_v1_llc-default-aper.txt,202693134.0,202693134.0,246.077476,-28.715044,16241859-2842541,307-087544,6806-847-1,,10.436,11.79,10.778,10.471,10.025,8.687,8.225,8.063,gri
202694812,3315.0,1.0013795465499251,0.0027284173919096795,0.997457485,0.999030857,0.999677341,1.0044928855,1.006493291,-2.564089190783489,-2.262646038110522,../data/hlsp_k2sff_k2_lightcurve_202694812-c02_kepler_v1_llc-default-aper.txt,202694812.0,202694812.0,245.774547,-28.708388,16230589-2842301,307-087386,None,,11.995,13.952,12.593,12.011,11.404,9.738,9.202,8.966,gri
202699293,3267.0,0.9908799839568398,0.08359697012755378,0.8462600640000001,0.908962941,1.005146279,1.0702139065,1.146477441,-1.077809462761101,-0.7924976763201862,../data/hlsp_k2sff_k2_lightcurve_202699293-c02_kepler_v1_llc-default-aper.txt,202699293.0,202699293.0,243.128177,-28.691668,16123076-2841299,307-085609,None,,12.816,15.067,13.53,12.893,12.098,10.301,9.573,9.392,gri
202709152,3324.0,1.0100968589954893,0.019422671656151715,0.972065795,0.9934082184999999,1.006752769,1.0263089635,1.125430554,-1.711691031600006,-1.4827942678334372,../data/hlsp_k2sff_k2_lightcurve_202709152-c02_kepler_v1_llc-default-aper.txt,202709152.0,202709152.0,245.879863,-28.654902,16233116-2839176,None,None,,14.843,,,,,12.504,11.941,11.618,JHK
202709674,3332.0,1.0047274463340323,0.008570702475050991,0.991839257,0.9964181142499999,1.0020505165000002,1.01375107775,1.020388914,-2.0669835808147954,-1.7611271775246369,../data/hlsp_k2sff_k2_lightcurve_202709674-c02_kepler_v1_llc-default-aper.txt,202709674.0,202709674.0,246.270486,-28.653088,16250492-2839109,307-087653,None,,12.529,14.48,13.153,12.573,11.953,10.191,9.521,9.305,gri
202709862,3266.0,1.0039724319764252,0.024648185412762917,0.894695371,0.9833560929999999,1.005542008,1.0253821145000002,1.175611644,-1.60821504775518,-1.3764817216381229,../data/hlsp_k2sff_k2_lightcurve_202709862-c02_kepler_v1_llc-default-aper.txt,202709862.0,202709862.0,243.071829,-28.652388,16121723-2839082,307-085558,None,,14.512,,,,,12.182,11.6,11.299,JHK
202717677,3174.0,1.0008116154079991,0.001158493859052719,0.998373336,0.9997763845000001,1.0008132415,1.0017957505,1.003523144,-2.9361062639772313,-2.6947849602168943,../data/hlsp_k2sff_k2_lightcurve_202717677-c02_kepler_v1_llc-default-aper.txt,202717677.0,202717677.0,242.970361,-28.623516,16115287-2837244,307-085468,6805-1814-1,,11.15,12.611,11.706,10.98,10.589,9.142,8.561,8.44,gri
202718258,3353.0,1.0020009476698468,0.004304817548350068,0.985698527,0.998080361,0.999563235,1.00657298,1.01669385,-2.3660452505805765,-2.0709583590082667,../data/hlsp_k2sff_k2_lightcurve_202718258-c02_kepler_v1_llc-default-aper.txt,202718258.0,202718258.0,245.585098,-28.62124,16222042-2837163,307-087328,None,,13.328,15.516,14.014,13.361,12.644,10.776,10.067,9.825,gri
